Name,State,District,Website
Shomari Figures,Alabama,1st,https://figures.house.gov/
Mike Rogers,Alabama,2nd,https://mikerogers.house.gov/
Robert Aderholt,Alabama,4th,https://aderholt.house.gov/
Dale Strong,Alabama,5th,https://strong.house.gov
Gary Palmer,Alabama,6th,https://palmer.house.gov/
Terri Sewell,Alabama,7th,https://sewell.house.gov/
Nicholas Begich,Alaska,At Large,https://begich.house.gov/
Amata Coleman Radewagen,American Samoa,Delegate,
Elijah Crane,Arizona,1st,https://crane.house.gov
Yassamin Ansari,Arizona,3rd,https://ansari.house.gov/
Greg Stanton,Arizona,4th,https://stanton.house.gov/
Andy Biggs,Arizona,5th,https://biggs.house.gov
Juan Ciscomani,Arizona,6th,https://ciscomani.house.gov
Raúl M. Grijalva,Arizona,7th,https://clerk.house.gov/members/AZ07/vacancy
Abraham Hamadeh,Arizona,8th,https://hamadeh.house.gov/
Paul Gosar,Arizona,9th,https://gosar.house.gov/
J. Hill,Arkansas,2nd,https://hill.house.gov/
Steve Womack,Arkansas,3rd,https://womack.house.gov/
Bruce Westerman,Arkansas,4th,https://westerman.house.gov/
Eric Crawford,Arkansas,1st,https://crawford.house.gov/
Jared Huffman,California,2nd,https://huffman.house.gov
Kevin Kiley,California,3rd,https://kiley.house.gov
Mike Thompson,California,4th,https://mikethompson.house.gov/
Tom McClintock,California,5th,https://mcclintock.house.gov/
Ami Bera,California,6th,https://bera.house.gov
Doris Matsui,California,7th,https://matsui.house.gov
John Garamendi,California,8th,https://garamendi.house.gov/
Josh Harder,California,9th,https://harder.house.gov/
Mark DeSaulnier,California,10th,https://desaulnier.house.gov/
Nancy Pelosi,California,11th,https://pelosi.house.gov/
Lateefah Simon,California,12th,https://simon.house.gov/
Adam Gray,California,13th,https://gray.house.gov/
Eric Swalwell,California,14th,https://swalwell.house.gov
Kevin Mullin,California,15th,https://kevinmullin.house.gov
Sam Liccardo,California,16th,https://liccardo.house.gov/
Ro Khanna,California,17th,https://khanna.house.gov
Zoe Lofgren,California,18th,https://lofgren.house.gov/
Jimmy Panetta,California,19th,https://panetta.house.gov
Vince Fong,California,20th,https://fong.house.gov/
Jim Costa,California,21st,https://costa.house.gov/
David Valadao,California,22nd,https://valadao.house.gov
Jay Obernolte,California,23rd,https://obernolte.house.gov
Salud Carbajal,California,24th,https://carbajal.house.gov
Raul Ruiz,California,25th,https://ruiz.house.gov
Julia Brownley,California,26th,https://juliabrownley.house.gov
George Whitesides,California,27th,https://whitesides.house.gov/
Judy Chu,California,28th,https://chu.house.gov/
Luz Rivas,California,29th,https://rivas.house.gov/
Laura Friedman,California,30th,https://friedman.house.gov/
Gilbert Cisneros,California,31st,https://cisneros.house.gov/
Brad Sherman,California,32nd,https://sherman.house.gov
Pete Aguilar,California,33rd,https://aguilar.house.gov/
Jimmy Gomez,California,34th,https://gomez.house.gov/
Norma Torres,California,35th,https://torres.house.gov/
Ted Lieu,California,36th,https://lieu.house.gov/
Sydney Kamlager-Dove,California,37th,https://kamlager-dove.house.gov
Linda Sanchez,California,38th,https://lindasanchez.house.gov/
Mark Takano,California,39th,https://takano.house.gov
Young Kim,California,40th,https://youngkim.house.gov
Ken Calvert,California,41st,https://calvert.house.gov/
Robert Garcia,California,42nd,https://robertgarcia.house.gov
Maxine Waters,California,43rd,https://waters.house.gov
Nanette Barragan,California,44th,https://barragan.house.gov
Derek Tran,California,45th,https://tran.house.gov/
J. Correa,California,46th,https://correa.house.gov
Dave Min,California,47th,https://min.house.gov/
Darrell Issa,California,48th,https://issa.house.gov
Mike Levin,California,49th,https://levin.house.gov/
Scott Peters,California,50th,https://scottpeters.house.gov
Sara Jacobs,California,51st,https://sarajacobs.house.gov
Juan Vargas,California,52nd,https://vargas.house.gov
Doug LaMalfa,California,1st,https://lamalfa.house.gov
Joe Neguse,Colorado,2nd,https://neguse.house.gov/
Jeff Hurd,Colorado,3rd,https://hurd.house.gov/
Lauren Boebert,Colorado,4th,https://boebert.house.gov
Jeff Crank,Colorado,5th,https://crank.house.gov/
Jason Crow,Colorado,6th,https://crow.house.gov/
Brittany Pettersen,Colorado,7th,https://pettersen.house.gov
Gabe Evans,Colorado,8th,https://gabeevans.house.gov/
Diana DeGette,Colorado,1st,https://degette.house.gov
Joe Courtney,Connecticut,2nd,https://courtney.house.gov/
Rosa DeLauro,Connecticut,3rd,https://delauro.house.gov/
James Himes,Connecticut,4th,https://himes.house.gov/
Jahana Hayes,Connecticut,5th,https://hayes.house.gov
John Larson,Connecticut,1st,https://larson.house.gov/
Sarah McBride,Delaware,At Large,https://mcbride.house.gov/
Eleanor Norton,District of Columbia,Delegate,https://norton.house.gov/
Neal Dunn,Florida,2nd,https://dunn.house.gov
Kat Cammack,Florida,3rd,https://cammack.house.gov
Aaron Bean,Florida,4th,https://bean.house.gov
John Rutherford,Florida,5th,https://rutherford.house.gov
Randy Fine,Florida,6th,https://fine.house.gov/
Cory Mills,Florida,7th,https://mills.house.gov
Mike Haridopolos,Florida,8th,https://haridopolos.house.gov/
Darren Soto,Florida,9th,https://soto.house.gov
Maxwell Frost,Florida,10th,https://frost.house.gov
Daniel Webster,Florida,11th,https://webster.house.gov/
Gus Bilirakis,Florida,12th,https://bilirakis.house.gov/
Anna Paulina Luna,Florida,13th,https://luna.house.gov
Kathy Castor,Florida,14th,https://castor.house.gov/
Laurel Lee,Florida,15th,https://laurellee.house.gov
Vern Buchanan,Florida,16th,https://buchanan.house.gov/
W. Steube,Florida,17th,https://steube.house.gov/
Scott Franklin,Florida,18th,https://franklin.house.gov
Byron Donalds,Florida,19th,https://donalds.house.gov
Sheila Cherfilus-McCormick,Florida,20th,https://cherfilus-mccormick.house.gov/
Brian Mast,Florida,21st,https://mast.house.gov
Lois Frankel,Florida,22nd,https://frankel.house.gov
