Name,State,District,Website,Matched Name
Shomari Figures,Alabama,1st,https://figures.house.gov/,"FIGURES, SHOMARI C."
Mike Rogers,Alabama,2nd,https://mikerogers.house.gov/,"ROGERS, MICHAEL"
Robert Aderholt,Alabama,4th,https://aderholt.house.gov/,"ADERHOLT, ROBERT B. REP."
Dale Strong,Alabama,5th,https://strong.house.gov,"STRONG, DALE WHITNEY"
Gary Palmer,Alabama,6th,https://palmer.house.gov/,"PALMER, GARY"
Terri Sewell,Alabama,7th,https://sewell.house.gov/,"SEWELL, TERRI A."
Nicholas Begich,Alaska,At Large,https://begich.house.gov/,"BEGICH, NICHOLAS III"
Amata Coleman Radewagen,American Samoa,Delegate,,"AMATA, AUMUA"
Elijah Crane,Arizona,1st,https://crane.house.gov,"CRANE, ELI"
Yassamin Ansari,Arizona,3rd,https://ansari.house.gov/,"ANSARI, AHSAN"
Greg Stanton,Arizona,4th,https://stanton.house.gov/,"STANTON, GREG"
Andy Biggs,Arizona,5th,https://biggs.house.gov,"BIGGS, ANDY"
Juan Ciscomani,Arizona,6th,https://ciscomani.house.gov,"CISCOMANI, JUAN"
Raúl M. Grijalva,Arizona,7th,https://clerk.house.gov/members/AZ07/vacancy,"GRIJALVA, RAUL M"
Abraham Hamadeh,Arizona,8th,https://hamadeh.house.gov/,"HAMADEH, ABRAHAM"
Paul Gosar,Arizona,9th,https://gosar.house.gov/,"GOSAR, PAUL DR."
J. Hill,Arkansas,2nd,https://hill.house.gov/,"HILL, JAMES FRENCH"
Steve Womack,Arkansas,3rd,https://womack.house.gov/,"WOMACK, STEPHEN A THE HON"
Bruce Westerman,Arkansas,4th,https://westerman.house.gov/,"WESTERMAN, BRUCE"
Eric Crawford,Arkansas,1st,https://crawford.house.gov/,"CRAWFORD, ERIC ALAN RICK"
Jared Huffman,California,2nd,https://huffman.house.gov,"HUFFMAN, JARED"
Kevin Kiley,California,3rd,https://kiley.house.gov,"KILEY, KEVIN"
Mike Thompson,California,4th,https://mikethompson.house.gov/,"THOMPSON, MIKE MR."
Tom McClintock,California,5th,https://mcclintock.house.gov/,"MCCLINTOCK, THOMAS"
Ami Bera,California,6th,https://bera.house.gov,"BERA, AMERISH"
Doris Matsui,California,7th,https://matsui.house.gov,"MATSUI, DORIS"
John Garamendi,California,8th,https://garamendi.house.gov/,"GARAMENDI, JOHN"
Josh Harder,California,9th,https://harder.house.gov/,"HARDER, JOSH"
