Last Name,First Name,Party,State,Class,Phone,Website,Address,Bioguide ID,Leadership Position
Alsobrooks,Angela D.,D,MD,Class I,(202) 224-4524,https://alsobrooks.senate.gov/,374 Russell Senate Office Building Washington DC 20510,A000382,
Baldwin,Tammy,D,WI,Class I,(202) 224-5653,https://www.baldwin.senate.gov/,141 Hart Senate Office Building Washington DC 20510,B001230,
Banks,Jim,R,IN,Class I,(202) 224-4814,https://www.banks.senate.gov/,303 Hart Senate Office Building Washington DC 20510,B001299,
Barrasso,John,R,WY,Class I,(202) 224-6441,https://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510,B001261,Majority Whip
Bennet,Michael F.,D,CO,Class III,(202) 224-5852,https://www.bennet.senate.gov,261 Russell Senate Office Building Washington DC 20510,B001267,
Blackburn,Marsha,R,TN,Class I,(202) 224-3344,https://www.blackburn.senate.gov,357 Dirksen Senate Office Building Washington DC 20510,B001243,
Blumenthal,Richard,D,CT,Class III,(202) 224-2823,https://www.blumenthal.senate.gov,503 Hart Senate Office Building Washington DC 20510,B001277,
Blunt Rochester,Lisa,D,DE,Class I,(202) 224-2441,https://www.bluntrochester.senate.gov/,513 Hart Senate Office Building Washington DC 20510,B001303,
Booker,Cory A.,D,NJ,Class II,(202) 224-3224,https://www.booker.senate.gov,306 Hart Senate Office Building Washington DC 20510,B001288,
Boozman,John,R,AR,Class III,(202) 224-4843,https://www.boozman.senate.gov/,555 Dirksen Senate Office Building Washington DC 20510,B001236,
Britt,Katie Boyd,R,AL,Class III,(202) 224-5744,https://www.britt.senate.gov/,416 Russell Senate Office Building Washington DC 20510,B001319,
Budd,Ted,R,NC,Class III,(202) 224-3154,https://www.budd.senate.gov/,354 Russell Senate Office Building Washington DC 20510,B001305,
Cantwell,Maria,D,WA,Class I,(202) 224-3441,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,C000127,
Capito,Shelley Moore,R,WV,Class II,(202) 224-6472,https://www.capito.senate.gov,170 Russell Senate Office Building Washington DC 20510,C001047,
Cassidy,Bill,R,LA,Class II,(202) 224-5824,https://www.cassidy.senate.gov,455 Dirksen Senate Office Building Washington DC 20510,C001075,
Collins,Susan M.,R,ME,Class II,(202) 224-2523,https://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,C001035,
Coons,Christopher A.,D,DE,Class II,(202) 224-5042,https://www.coons.senate.gov/,218 Russell Senate Office Building Washington DC 20510,C001088,
Cornyn,John,R,TX,Class II,(202) 224-2934,https://www.cornyn.senate.gov/,517 Hart Senate Office Building Washington DC 20510,C001056,
Cortez Masto,Catherine,D,NV,Class III,(202) 224-3542,https://www.cortezmasto.senate.gov,309 Hart Senate Office Building Washington DC 20510,C001113,
Cotton,Tom,R,AR,Class II,(202) 224-2353,https://www.cotton.senate.gov,326 Russell Senate Office Building Washington DC 20510,C001095,
Cramer,Kevin,R,ND,Class I,(202) 224-2043,https://www.cramer.senate.gov,313 Hart Senate Office Building Washington DC 20510,C001096,
Crapo,Mike,R,ID,Class III,(202) 224-6142,https://www.crapo.senate.gov,239 Dirksen Senate Office Building Washington DC 20510,C000880,
Cruz,Ted,R,TX,Class I,(202) 224-5922,https://www.cruz.senate.gov,167 Russell Senate Office Building Washington DC 20510,C001098,
Curtis,John R.,R,UT,Class I,(202) 224-5251,https://www.curtis.senate.gov/,502 Hart Senate Office Building Washington DC 20510,C001114,
Daines,Steve,R,MT,Class II,(202) 224-2651,https://www.daines.senate.gov,320 Hart Senate Office Building Washington DC 20510,D000618,
Duckworth,Tammy,D,IL,Class III,(202) 224-2854,https://www.duckworth.senate.gov,524 Hart Senate Office Building Washington DC 20510,D000622,
Durbin,Richard J.,D,IL,Class II,(202) 224-2152,https://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,D000563,Democratic Whip
Ernst,Joni,R,IA,Class II,(202) 224-3254,https://www.ernst.senate.gov,260 Russell Senate Office Building Washington DC 20510,E000295,
Fetterman,John,D,PA,Class III,(202) 224-4254,https://www.fetterman.senate.gov/,142 Russell Senate Office Building Washington DC 20510,F000479,
Fischer,Deb,R,NE,Class I,(202) 224-6551,https://www.fischer.senate.gov,448 Russell Senate Office Building Washington DC 20510,F000463,
Gallego,Ruben,D,AZ,Class I,(202) 224-4521,https://www.gallego.senate.gov/,302 Hart Senate Office Building Washington DC 20510,G000574,
Gillibrand,Kirsten E.,D,NY,Class I,(202) 224-4451,https://www.gillibrand.senate.gov,478 Russell Senate Office Building Washington DC 20510,G000555,
Graham,Lindsey,R,SC,Class II,(202) 224-5972,https://www.lgraham.senate.gov/,211 Russell Senate Office Building Washington DC 20510,G000359,
Grassley,Chuck,R,IA,Class III,(202) 224-3744,https://www.grassley.senate.gov,135 Hart Senate Office Building Washington DC 20510,G000386,President Pro Tempore
Hagerty,Bill,R,TN,Class II,(202) 224-4944,https://www.hagerty.senate.gov,251 Russell Senate Office Building Washington DC 20510,H000601,
Hassan,Margaret Wood,D,NH,Class III,(202) 224-3324,https://www.hassan.senate.gov,324 Hart Senate Office Building Washington DC 20510,H001076,
Hawley,Josh,R,MO,Class I,(202) 224-6154,https://www.hawley.senate.gov,381 Russell Senate Office Building Washington DC 20510,H001089,
Heinrich,Martin,D,NM,Class I,(202) 224-5521,https://www.heinrich.senate.gov/,709 Hart Senate Office Building Washington DC 20510,H001046,
Hickenlooper,John W.,D,CO,Class II,(202) 224-5941,https://www.hickenlooper.senate.gov,316 Hart Senate Office Building Washington DC 20510,H000273,
Hirono,Mazie K.,D,HI,Class I,(202) 224-6361,https://www.hirono.senate.gov/,109 Hart Senate Office Building Washington DC 20510,H001042,
Hoeven,John,R,ND,Class III,(202) 224-2551,https://www.hoeven.senate.gov,338 Russell Senate Office Building Washington DC 20510,H001061,
Husted,Jon,R,OH,Class III,(202) 224-3353,https://www.husted.senate.gov/,304 Russell Senate Office Building Washington DC 20510,H001104,
Hyde-Smith,Cindy,R,MS,Class II,(202) 224-5054,https://www.hydesmith.senate.gov/,528 Hart Senate Office Building Washington DC 20510,H001079,
