Name,Website,Matched Name
Angela D. Alsobrooks,https://alsobrooks.senate.gov/,"ALSOBROOKS, ANGELA"
Tammy Baldwin,https://www.baldwin.senate.gov/,"BALDWIN, TAMMY"
Jim Banks,https://www.banks.senate.gov/,"BANKS, JAMES E HON."
John Barrasso,https://www.barrasso.senate.gov,"BARRASSO, JOHN A"
Michael F. Bennet,https://www.bennet.senate.gov,"BENNET, MICHAEL F."
Marsha Blackburn,https://www.blackburn.senate.gov,"BLACKBURN, MARSHA MRS."
Richard Blumenthal,https://www.blumenthal.senate.gov,"BLUMENTHAL, RICHARD"
Lisa Blunt Rochester,https://www.bluntrochester.senate.gov/,"BLUNT ROCHESTER, LISA"
Cory A. Booker,https://www.booker.senate.gov,"BOOKER, CORY A."
John Boozman,https://www.boozman.senate.gov/,"BOOZMAN, SEN. JOHN"
Katie Boyd Britt,https://www.britt.senate.gov/,"BRITT, KATIE BOYD"
Ted Budd,https://www.budd.senate.gov/,"BUDD, THEODORE P"
Maria Cantwell,https://www.cantwell.senate.gov,"CANTWELL, MARIA"
Shelley Moore Capito,https://www.capito.senate.gov,"CAPITO, SHELLEY MOORE"
Bill Cassidy,https://www.cassidy.senate.gov,"CASSIDY, WILLIAM M."
Susan M. Collins,https://www.collins.senate.gov,"COLLINS, SUSAN M."
Christopher A. Coons,https://www.coons.senate.gov/,"COONS, CHRISTOPHER A."
John Cornyn,https://www.cornyn.senate.gov/,"CORNYN, JOHN SEN"
Catherine Cortez Masto,https://www.cortezmasto.senate.gov,"CORTEZ MASTO, CATHERINE"
Tom Cotton,https://www.cotton.senate.gov,"COTTON, THOMAS"
Kevin Cramer,https://www.cramer.senate.gov,"CRAMER, KEVIN MR."
Mike Crapo,https://www.crapo.senate.gov,"CRAPO, MICHAEL D"
Ted Cruz,https://www.cruz.senate.gov,"CRUZ, RAFAEL EDWARD  TED"
John R. Curtis,https://www.curtis.senate.gov/,"CURTIS, JOHN"
Steve Daines,https://www.daines.senate.gov,"DAINES, STEVEN"
Tammy Duckworth,https://www.duckworth.senate.gov,"DUCKWORTH, L. TAMMY"
Richard J. Durbin,https://www.durbin.senate.gov,"DURBIN, RICHARD J."
Joni Ernst,https://www.ernst.senate.gov,"ERNST, JONI K"
