CAND_ID,CAND_NAME,CAND_ICI,CAND_PTY_AFFILIATION,TTL_RECEIPTS,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,PCT_INDIV_CONTRIB,PAC_Contribution_%,Party_Contribution_%,Adj_Party_Contrib,Adj_PAC_Contrib,Pct_Individual,Funding_Group,Individual_Pctile_All,Individual_Pctile_Bin
H2FL18096,"BALDERRAMOS ROBINSON, CORINNA",C,DEM,445.5,0.0,445.5,FL,21.0,0.0,0.0,09/30/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,<$100K,96.94408322496749,95.41666666666667
H0NC03248,"THOMAS, ALLEN",O,DEM,640.0,230000.0,640.0,NC,3.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,<$100K,96.94408322496749,95.41666666666667
H4OH02263,"HENDERSON, MATTHEW",O,REP,950.0,0.0,950.0,OH,2.0,0.0,0.0,02/29/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,<$100K,96.94408322496749,95.41666666666667
H0PA12207,"ELIZABETH, TERWILLIGER",O,LIB,25.22,0.0,25.22,PA,12.0,0.0,0.0,08/26/2024,5442.04,0.0,100.0,0.0,0.0,0.0,0.0,100.0,<$100K,96.94408322496749,95.41666666666667
H4MD02240,"KYRIAKAKOS, ATHANSIA MS.",O,DEM,23028.0,3.12,23028.0,MD,2.0,0.0,0.0,06/13/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,<$100K,96.94408322496749,95.41666666666667
H2GA06222,"CHRISTIAN, ROBERT FRANKLIN MR. III",C,DEM,37360.19,245220.0,37360.19,GA,7.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,<$100K,96.94408322496749,95.41666666666667
H4PA07126,"ISSA, ALLEN",C,REP,24090.0,0.0,24090.0,PA,7.0,0.0,0.0,02/29/2024,9385.75,0.0,100.0,0.0,0.0,0.0,0.0,100.0,<$100K,96.94408322496749,95.41666666666667
H4WI07145,"DURANCEAU, ELSA",C,DEM,10147.16,0.0,10147.16,WI,7.0,0.0,0.0,07/24/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,<$100K,96.94408322496749,95.41666666666667
H2CA06184,"NEVENIC, ANNA",C,DEM,11180.0,0.0,11180.0,CA,41.0,0.0,0.0,02/21/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,<$100K,96.94408322496749,95.41666666666667
H4IL06120,"AHMAD, MAHNOOR",C,DEM,97025.26,0.0,97025.26,IL,6.0,0.0,0.0,08/12/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,<$100K,96.94408322496749,95.41666666666667
