CAND_ID,CAND_NAME,CAND_ICI,CAND_PTY_AFFILIATION,TTL_RECEIPTS,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,PCT_INDIV_CONTRIB,PAC_Contribution_%,Party_Contribution_%,Adj_Party_Contrib,Adj_PAC_Contrib,Pct_Individual,Funding_Group,Individual_Pctile_All,Individual_Pctile_Bin
S8VT00059,"MCMULLEN, JOHN A",C,REP,5.0,619740.7,5.0,VT,0.0,0.0,0.0,06/30/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,<$100K,97.20853858784893,95.49071618037135
S2AK00135,"LEE, HUHNKIE",C,IND,34330.0,0.0,34330.0,AK,0.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,<$100K,97.20853858784893,95.49071618037135
S2NY00499,"PINION, JOSEPH III",C,REP,1466.55,78576.15,1466.55,NY,0.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,<$100K,97.20853858784893,95.49071618037135
S4MD00533,"BARAKAT, MOHAMMED",O,REP,2211.86,0.0,2211.86,MD,,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,<$100K,97.20853858784893,95.49071618037135
S4NE00231,"EDDY, KERRY",C,OTH,17765.56,0.0,17765.56,NE,,0.0,0.0,09/30/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,<$100K,97.20853858784893,95.49071618037135
S2IN00109,"HORNING, ANDY",C,LIB,1446.0,0.0,1446.0,IN,,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,<$100K,97.20853858784893,95.49071618037135
S2IN00299,"SCENIAK, JAMES",C,LIB,75.0,0.0,75.0,IN,0.0,0.0,0.0,03/31/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,<$100K,97.20853858784893,95.49071618037135
S4PA00360,"THOMAS, JOHN C.",,LIB,4854.0,0.0,4854.0,PA,,0.0,0.0,09/30/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,<$100K,97.20853858784893,95.49071618037135
S6TX00305,"ALLEN, KEITH",,REP,200.0,0.0,200.0,TX,0.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,<$100K,97.20853858784893,95.49071618037135
S4TX00607,"RODRIGUEZ-PRILLIMAN, HELI",C,DEM,10122.0,39777.5,10122.0,TX,0.0,0.0,0.0,12/31/2024,176.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,<$100K,97.20853858784893,95.49071618037135
