CAND_ID,CAND_NAME,CAND_ICI,CAND_PTY_AFFILIATION,TTL_RECEIPTS,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,PCT_INDIV_CONTRIB,PAC_Contribution_%,Party_Contribution_%,Adj_Party_Contrib,Adj_PAC_Contrib
H2FL18096,"BALDERRAMOS ROBINSON, CORINNA",C,DEM,445.5,0.0,445.5,FL,21.0,0.0,0.0,09/30/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H0FL13133,"MAKKI, AMANDA",O,REP,300.0,46043.52,300.0,FL,13.0,0.0,0.0,06/30/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4UT02403,"ADAMS, BRIAN",C,DEM,400.0,0.0,400.0,UT,2.0,0.0,0.0,07/11/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4MN02185,"BOWMAN, THOMAS WILLIAM MR.",C,IND,19800.0,0.0,19800.0,MN,2.0,0.0,0.0,09/30/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4MN02193,"KOURY, JAKE MARIUS MR",C,UN,300.0,0.0,300.0,MN,2.0,0.0,0.0,07/16/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4TX07164,"ALTEKAR, GIRISH",C,LIB,7767.1,0.0,7767.1,TX,37.0,0.0,0.0,12/06/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2CA09154,"SHOEMAKER, JAMES H",O,REP,1890.0,0.0,1890.0,CA,9.0,0.0,0.0,09/30/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4CA09085,"DOOD, BRETT R",C,REP,121330.42,0.0,121330.42,CA,9.0,0.0,0.0,08/30/2023,85084.4,0.0,100.0,0.0,0.0,0.0,0.0
H4MN05097,"GAD, SARAH",C,DEM,86810.0,0.0,86810.0,MN,5.0,0.0,0.0,12/31/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4SC02089,"ROBINSON, ROGER DAVID JR",C,DEM,13806.7,0.0,13806.7,SC,2.0,0.0,0.0,12/31/2024,370.98,0.0,100.0,0.0,0.0,0.0,0.0
